19	 20-F 	9	p	   656.006(18)	656.006	          0.00197(7)	0.00197	7.00E-05	        0.000314(11)	3.14E-04	1.12E-05
19	 20-F 	9	p	   661.647(21)	661.647	        2.24E-04(14)	0.000224	1.40E-05	        3.57E-05(22)	3.57E-05	2.23E-06
19	 20-F 	9	p	    662.25(10)	662.25	        1.02E-04(15)	0.000102	1.50E-05	        1.63E-05(24)	1.63E-05	2.39E-06
19	 20-F 	9	p	   665.207(18)	665.207	          0.00149(6)	0.00149	6.00E-05	        2.38E-04(10)	2.38E-04	9.57E-06
19	 20-F 	9	p	     670.57(9)	670.57	         3.0E-06(10)	0.000003	1.00E-06	         4.8E-07(16)	4.79E-07	1.60E-07
19	 20-F 	9	p	    691.29(10)	691.29	         4.0E-06(22)	0.000004	2.20E-06	            6E-07(4)	6.38E-07	3.51E-07
19	 20-F 	9	p	   734.783(24)	734.783	         6.0E-06(20)	0.000006	2.00E-06	          1.0E-06(3)	9.57E-07	3.19E-07
19	 20-F 	9	p	     771.79(3)	771.79	          1.5E-05(4)	0.000015	4.00E-06	          2.4E-06(6)	2.39E-06	6.38E-07
19	 20-F 	9	p	      791.2(3)	791.2	         4.0E-06(10)	0.000004	1.00E-06	         6.4E-07(16)	6.38E-07	1.60E-07
19	 20-F 	9	p	    793.35(14)	793.35	         7.0E-06(20)	0.000007	2.00E-06	          1.1E-06(3)	1.12E-06	3.19E-07
19	 20-F 	9	p	     820.88(9)	820.88	         5.0E-06(20)	0.000005	2.00E-06	            8E-07(3)	7.98E-07	3.19E-07
19	 20-F 	9	p	   822.700(19)	822.7	         2.20E-04(9)	0.00022	9.00E-06	        3.51E-05(14)	3.51E-05	1.44E-06
19	 20-F 	9	p	   885.095(25)	885.095	         5.0E-06(10)	0.000005	1.00E-06	         8.0E-07(16)	7.98E-07	1.60E-07
19	 20-F 	9	p	     894.02(9)	894.02	         3.0E-06(10)	0.000003	1.00E-06	         4.8E-07(16)	4.79E-07	1.60E-07
19	 20-F 	9	p	     978.19(5)	978.19	          6.8E-05(6)	0.000068	6.00E-06	        1.08E-05(10)	1.08E-05	9.57E-07
19	 20-F 	9	p	   983.538(20)	983.538	          0.00116(4)	0.00116	4.00E-05	         1.85E-04(6)	1.85E-04	6.38E-06
19	 20-F 	9	p	     987.24(3)	987.24	         4.0E-06(10)	0.000004	1.00E-06	         6.4E-07(16)	6.38E-07	1.60E-07
19	 20-F 	9	p	    1021.06(9)	1021.06	         3.0E-06(10)	0.000003	1.00E-06	         4.8E-07(16)	4.79E-07	1.60E-07
19	 20-F 	9	p	    1045.98(3)	1045.98	         1.79E-04(8)	0.000179	8.00E-06	        2.86E-05(13)	2.86E-05	1.28E-06
19	 20-F 	9	p	  1056.776(17)	1056.776	          0.00095(3)	0.00095	3.00E-05	         1.52E-04(5)	1.52E-04	4.79E-06
19	 20-F 	9	p	   1135.47(15)	1135.47	        1.08E-05(20)	0.0000108	2.00E-06	          1.7E-06(3)	1.72E-06	3.19E-07
19	 20-F 	9	p	  1148.077(20)	1148.077	        0.000258(12)	0.000258	1.20E-05	        4.12E-05(19)	4.12E-05	1.91E-06
19	 20-F 	9	p	  1187.725(25)	1187.725	          4.5E-05(3)	0.000045	3.00E-06	          7.2E-06(5)	7.18E-06	4.79E-07
19	 20-F 	9	p	    1282.15(4)	1282.15	          8.5E-05(5)	0.000085	5.00E-06	         1.36E-05(8)	1.36E-05	7.98E-07
19	 20-F 	9	p	   1306.22(15)	1306.22	         9.0E-06(21)	0.000009	2.10E-06	          1.4E-06(3)	1.44E-06	3.35E-07
19	 20-F 	9	p	  1309.126(17)	1309.126	          0.00076(3)	0.00076	3.00E-05	         1.21E-04(5)	1.21E-04	4.79E-06
19	 20-F 	9	p	    1318.48(9)	1318.48	        2.34E-05(20)	0.0000234	2.00E-06	          3.7E-06(3)	3.73E-06	3.19E-07
19	 20-F 	9	p	  1371.520(24)	1371.52	         1.44E-04(7)	0.000144	7.00E-06	        2.30E-05(11)	2.30E-05	1.12E-06
19	 20-F 	9	p	     1375.2(4)	1375.2	         5.0E-06(20)	0.000005	2.00E-06	            8E-07(3)	7.98E-07	3.19E-07
19	 20-F 	9	p	  1387.901(20)	1387.901	          0.00082(3)	0.00082	3.00E-05	         1.31E-04(5)	1.31E-04	4.79E-06
19	 20-F 	9	p	  1392.191(23)	1392.191	          8.3E-05(5)	0.000083	5.00E-06	         1.32E-05(8)	1.32E-05	7.98E-07
19	 20-F 	9	p	  1542.498(20)	1542.498	        0.000271(11)	0.000271	1.10E-05	        4.32E-05(18)	4.32E-05	1.75E-06
19	 20-F 	9	p	    1545.76(4)	1545.76	        1.30E-05(21)	0.000013	2.10E-06	          2.1E-06(3)	2.07E-06	3.35E-07
19	 20-F 	9	p	    1555.63(9)	1555.63	         5.0E-06(10)	0.000005	1.00E-06	         8.0E-07(16)	7.98E-07	1.60E-07
19	 20-F 	9	p	  1644.538(25)	1644.538	          7.3E-05(6)	0.000073	6.00E-06	        1.16E-05(10)	1.16E-05	9.57E-07
19	 20-F 	9	p	   1708.47(15)	1708.47	          2.5E-05(3)	0.000025	3.00E-06	          4.0E-06(5)	3.99E-06	4.79E-07
19	 20-F 	9	p	  1742.670(25)	1742.67	         6.0E-06(20)	0.000006	2.00E-06	          1.0E-06(3)	9.57E-07	3.19E-07
19	 20-F 	9	p	    1836.29(4)	1836.29	        1.61E-05(19)	0.0000161	1.90E-06	          2.6E-06(3)	2.57E-06	3.03E-07
19	 20-F 	9	p	  1843.688(20)	1843.688	        0.000600(23)	0.0006	2.30E-05	          9.6E-05(4)	9.57E-05	3.67E-06
19	 20-F 	9	p	    1853.88(3)	1853.88	        1.30E-05(22)	0.000013	2.20E-06	          2.1E-06(4)	2.07E-06	3.51E-07
19	 20-F 	9	p	    1935.52(3)	1935.52	          7.3E-05(5)	0.000073	5.00E-06	         1.16E-05(8)	1.16E-05	7.98E-07
19	 20-F 	9	p	  1970.726(20)	1970.726	          8.5E-05(6)	0.000085	6.00E-06	        1.36E-05(10)	1.36E-05	9.57E-07
19	 20-F 	9	p	    1970.96(3)	1970.96	          1.0E-05(3)	0.00001	3.00E-06	          1.6E-06(5)	1.60E-06	4.79E-07
19	 20-F 	9	p	    2009.52(6)	2009.52	          4.6E-05(4)	0.000046	4.00E-06	          7.3E-06(6)	7.34E-06	6.38E-07
19	 20-F 	9	p	    2038.07(3)	2038.07	        1.50E-05(23)	0.000015	2.30E-06	          2.4E-06(4)	2.39E-06	3.67E-07
19	 20-F 	9	p	    2042.04(9)	2042.04	         5.0E-06(20)	0.000005	2.00E-06	            8E-07(3)	7.98E-07	3.19E-07
19	 20-F 	9	p	  2043.858(20)	2043.858	          7.0E-05(4)	0.00007	4.00E-06	         1.12E-05(6)	1.12E-05	6.38E-07
19	 20-F 	9	p	    2052.60(3)	2052.6	         5.0E-06(10)	0.000005	1.00E-06	         8.0E-07(16)	7.98E-07	1.60E-07
19	 20-F 	9	p	    2079.75(4)	2079.75	        1.10E-05(20)	0.000011	2.00E-06	          1.8E-06(3)	1.75E-06	3.19E-07
19	 20-F 	9	p	    2121.16(4)	2121.16	        1.51E-05(19)	0.0000151	1.90E-06	          2.4E-06(3)	2.41E-06	3.03E-07
19	 20-F 	9	p	  2143.248(21)	2143.248	         1.95E-04(8)	0.000195	8.00E-06	        3.11E-05(13)	3.11E-05	1.28E-06
19	 20-F 	9	p	  2179.091(20)	2179.091	          8.9E-05(6)	0.000089	6.00E-06	        1.42E-05(10)	1.42E-05	9.57E-07
19	 20-F 	9	p	   2188.00(14)	2188	        1.30E-05(21)	0.000013	2.10E-06	          2.1E-06(3)	2.07E-06	3.35E-07
19	 20-F 	9	p	  2194.159(21)	2194.159	         1.32E-04(6)	0.000132	6.00E-06	        2.11E-05(10)	2.11E-05	9.57E-07
19	 20-F 	9	p	    2208.72(9)	2208.72	         2.0E-06(10)	0.000002	1.00E-06	         3.2E-07(16)	3.19E-07	1.60E-07
