 Iso   Z  E(gamma)   DE     Sigma    DSigma      T1/2     T1/2(s)  dT1/2(s)  mode
 72GA 31  3093.700   .300  2.90E-04  3.00E-05    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31   230.600   .600  4.10E-04  3.00E-05    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31   289.310   .070  3.10E-03  3.00E-04    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31   381.240   .080  4.70E-03  3.00E-04    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31   810.200   .090  3.45E-02  9.00E-04    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31   861.110   .050  1.57E-02  1.60E-03    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31  1260.100   .070  1.95E-02  1.90E-03    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31  1596.680   .080  7.32E-02  1.60E-03    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31  1861.090   .060  9.04E-02  1.90E-03    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31  2491.600   .300  1.70E-01  4.00E-02    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31  2633.900   .400  2.48E-04  2.50E-05    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31  3324.600   .400  5.00E-05  6.00E-06    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31  3338.300   .700  5.30E-05  6.00E-06    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31   306.000   .300  3.80E-04  3.00E-05    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31   401.300   .400  5.70E-04  6.00E-05    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31   587.440   .240  2.10E-03  2.20E-04    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31   939.360   .070  4.46E-03  1.30E-04    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31  1276.760   .070  2.80E-02  3.00E-03    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31  1877.900   .210  4.10E-03  3.00E-04    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31  2507.400   .120  2.80E-01  4.00E-02    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31   495.880   .240  9.70E-04  9.00E-05    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31   924.220   .180  2.45E-03  2.50E-04    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31   975.500   .500  5.70E-04  6.00E-05    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31  1037.200   .600  3.80E-04  3.00E-05    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31  1711.150   .150  7.80E-04  9.00E-05    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31  2605.500   .400  3.10E-04  3.00E-05    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31   113.500   .100  9.70E-05  9.00E-06    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31  1390.420   .180  1.48E-03  1.60E-04    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31  1991.300   .300  1.92E-03  1.90E-04    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31  2621.060   .240  2.26E-03  2.20E-04    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31  1500.900   .500  3.10E-04  3.00E-05    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31  1837.600   .300  3.80E-03  3.00E-04    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31  1155.700   .600  1.79E-04  1.90E-05    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31  2785.100   .400  5.00E-04  6.00E-05    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31   738.500   .400  9.40E-04  9.00E-05    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31  1163.120   .180  1.29E-03  1.30E-04    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31  1613.600   .400  6.90E-04  6.00E-05    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31  2214.300   .300  3.10E-03  3.00E-04    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31  2844.000   .140  7.50E-03  6.00E-04    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31  1192.400   .400  6.00E-04  6.00E-05    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31   317.500   .400  3.80E-04  3.00E-05    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31  2029.400   .500  2.14E-03  2.20E-04    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31  2981.140   .240  9.40E-04  9.00E-05    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31    16.430   .030  1.25E-02  3.00E-04   39.68 MS  3.97E-02  1.30E-04 IT
 72GA 31   103.250   .030  5.26E-02  1.10E-03   39.68 MS  3.97E-02  1.30E-04 IT
 71GE 32   175.050   .030  7.80E-02  5.00E-03   20.40 MS  2.04E-02  1.70E-04 IT
 71GE 32    23.438   .015  4.00E-04  2.50E-05   20.40 MS  2.04E-02  1.70E-04 IT
 73GE 32    13.271   .001  1.17E-04  1.00E-05    0.499 S  4.99E-01  1.10E-02 IT
 73GE 32    53.440   .009  1.34E-02  1.20E-03    0.499 S  4.99E-01  1.10E-02 IT
 75GE 32   198.600   .100  1.90E-03  6.00E-05    82.78 M  4.97E+03  2.40E+00 B-
 75GE 32    66.000   .200  1.82E-04  9.00E-06    82.78 M  4.97E+03  2.40E+00 B-
 75GE 32   264.600   .100  1.80E-02  1.20E-03    82.78 M  4.97E+03  2.40E+00 B-
 75GE 32   279.700   .400  9.10E-06  1.80E-06    82.78 M  4.97E+03  2.40E+00 B-
 75GE 32   270.200   .400  5.50E-06  1.80E-06    82.78 M  4.97E+03  2.40E+00 B-
 75GE 32   468.800   .200  3.58E-04  1.50E-05    82.78 M  4.97E+03  2.40E+00 B-
 75GE 32   338.000   .400  7.30E-06  1.80E-06    82.78 M  4.97E+03  2.40E+00 B-
 75GE 32   353.000   .500  3.30E-05  4.00E-06    82.78 M  4.97E+03  2.40E+00 B-
 75GE 32   419.100   .200  2.95E-04  1.10E-05    82.78 M  4.97E+03  2.40E+00 B-
 75GE 32   617.700   .200  1.82E-04  9.00E-06    82.78 M  4.97E+03  2.40E+00 B-
 75GE 32   139.680   .030  2.32E-02  7.00E-04     47.7 S  4.77E+01  5.00E-01 IT
 77GE 32   194.760   .030  2.11E-04  8.02E-06    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   215.500   .030  3.41E-03  1.01E-04    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   264.440   .030  6.40E-03  1.90E-05    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   211.030   .030  3.67E-03  1.11E-04    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   475.430   .030  1.18E-04  3.02E-06    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   350.100   .150  1.99E-06  1.30E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   399.010   .050  1.14E-05  4.01E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   419.750   .030  1.46E-04  3.03E-06    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   614.390   .200  6.00E-05  6.00E-06    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   156.360   .030  9.60E-05  3.01E-06    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   367.400   .030  1.67E-03  4.03E-05    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   416.330   .030  2.60E-03  6.05E-05    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   631.820   .030  8.28E-04  1.92E-05    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   159.110   .150  2.74E-05  1.10E-06    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   634.390   .030  2.48E-04  5.05E-06    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   150.600  1.500  4.50E-06  1.30E-06    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   520.000  1.000  3.50E-05  4.00E-06    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   784.770   .030  1.57E-04  3.04E-06    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   610.960   .120  7.32E-06  1.91E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   660.060   .100  3.66E-06  1.30E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   680.360   .120  4.62E-06  1.31E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   875.190   .030  9.30E-05  3.01E-06    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   254.740   .150  2.52E-05  7.04E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   624.760   .090  2.17E-05  5.04E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   673.090   .200  1.58E-05  1.60E-06    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   889.230   .190  1.67E-06  6.02E-08    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   794.330   .030  3.29E-05  8.06E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   900.970   .110  1.44E-05  3.03E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   970.100   .100  3.20E-06  1.00E-06    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  1164.650   .120  5.97E-06  1.31E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   558.020   .030  1.91E-03  5.03E-05    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   714.350   .030  8.53E-04  1.92E-05    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   925.470   .200  8.50E-05  9.00E-06    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   325.600  1.500  3.20E-06  1.00E-06    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   569.220   .120  9.37E-06  1.92E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   985.730   .060  1.17E-05  3.02E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  1007.470   .200  1.60E-06  6.02E-08    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  1201.430   .100  9.69E-06  1.92E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   745.750   .030  1.15E-04  3.02E-06    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   665.400   .700  5.80E-07  6.00E-08    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  1279.960   .050  2.07E-05  5.04E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   430.600   .210  1.22E-06  6.01E-08    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   444.420   .170  2.05E-06  6.03E-08    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   534.990   .140  1.30E-07  6.00E-08    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   685.370   .200  8.00E-06  8.00E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   705.240   .080  1.27E-05  3.02E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  1104.230   .070  4.04E-06  1.31E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  1319.660   .030  3.58E-05  8.07E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   470.000  1.000  9.60E-07  6.01E-08    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   730.400   .400  2.44E-06  1.30E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  1080.820   .080  2.87E-05  6.06E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  1134.770   .100  3.27E-06  1.30E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  1155.370   .170  2.31E-06  1.30E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  1397.300   .300  9.00E-07  6.01E-08    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   177.280   .050  2.13E-05  8.03E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   208.980   .060  1.12E-04  4.01E-06    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   614.390   .200  1.06E-05  1.10E-06    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   766.720   .030  9.37E-05  1.92E-06    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   923.140   .030  8.21E-05  1.92E-06    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   268.100   .220  2.60E-05  1.90E-05    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   673.090   .200  6.40E-05  6.00E-06    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   823.130   .040  7.12E-05  1.32E-06    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   825.400   .800  5.10E-06  1.30E-06    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   843.170   .050  2.48E-05  5.05E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  1193.260   .030  3.05E-04  6.07E-06    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  1242.180   .030  4.74E-05  1.01E-06    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   338.660   .040  7.96E-05  1.91E-06    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   638.970   .180  4.81E-06  1.31E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   743.650   .050  2.11E-05  5.04E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   896.510   .050  1.46E-05  3.03E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   913.810   .030  4.35E-05  9.09E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  1052.540   .150  3.72E-06  1.30E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  1263.860   .030  1.01E-04  1.92E-06    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  1312.800   .030  4.26E-05  9.09E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  1528.200   .050  5.52E-06  1.31E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   219.130   .310  1.70E-05  1.70E-05    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   337.630   .060  2.76E-05  6.06E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   906.990   .030  1.13E-04  3.02E-06    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  1323.320   .100  1.93E-06  6.03E-08    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  1538.760   .050  1.69E-05  4.03E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   685.370   .200  3.00E-06  3.00E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   775.750   .300  1.80E-06  6.02E-08    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   925.470   .200  7.60E-06  8.00E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   928.850   .030  1.24E-04  3.02E-06    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   945.730   .200  3.66E-06  1.30E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  1085.190   .030  7.20E-04  1.52E-05    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  1295.710   .200  1.07E-05  1.10E-06    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   698.540   .050  2.72E-05  6.05E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   788.920   .080  1.16E-05  3.02E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   939.350   .030  3.39E-05  8.06E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   959.240   .050  8.34E-06  1.92E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  1309.270   .030  5.79E-05  1.31E-06    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  1358.740   .210  3.47E-06  1.30E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  1573.690   .030  7.83E-05  1.91E-06    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   531.300   .300  5.52E-06  1.31E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   857.620   .100  3.66E-06  1.30E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   557.000  1.000  5.10E-06  1.52E-08    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  1642.600   .400  2.50E-06  1.90E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   749.860   .030  1.05E-04  1.93E-06    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   781.260   .030  1.21E-04  3.02E-06    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  1186.520   .100  4.43E-06  1.31E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  1339.190   .050  8.15E-06  1.92E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  1495.600   .030  5.93E-05  1.21E-06    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   439.440   .050  2.41E-05  5.05E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   461.380   .030  1.51E-04  3.03E-06    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   655.280   .230  1.48E-06  6.02E-08    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   798.800   .080  5.71E-06  1.31E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   810.350   .030  2.70E-04  6.05E-06    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  1124.990   .050  1.40E-05  3.03E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  1215.420   .050  1.51E-05  3.03E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  1368.400   .500  4.00E-04  4.00E-05    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  1385.780   .210  9.00E-07  6.01E-08    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  1735.660   .070  1.09E-06  6.01E-08    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  1784.400   .130  9.00E-07  6.01E-08    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  2000.100   .030  6.67E-05  1.32E-06    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   582.540   .030  9.30E-05  1.92E-06    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   712.350   .040  9.88E-05  1.92E-06    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   921.040   .090  8.47E-06  1.92E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   945.730   .200  3.66E-06  1.30E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  1326.050   .080  4.56E-06  1.31E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  1476.520   .050  2.88E-05  6.06E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  1478.990   .200  1.01E-05  9.01E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  1846.410   .050  2.03E-05  5.04E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   503.940   .060  8.34E-06  1.92E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   802.840   .230  3.34E-06  1.30E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   813.360   .080  1.57E-05  4.03E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   884.170   .160  1.86E-06  6.03E-08    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   996.550   .050  1.25E-05  3.02E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  1021.900   .500  7.10E-07  6.00E-08    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  1061.700   .050  1.79E-05  4.04E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  1151.840   .050  2.32E-05  5.05E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  1452.590   .050  1.44E-05  4.02E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  1465.750   .200  7.10E-06  7.00E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  1557.030   .170  1.48E-06  6.02E-08    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  1709.810   .030  3.65E-05  8.07E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  1727.180   .050  1.76E-05  4.03E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  2077.170   .050  2.77E-05  6.06E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  2126.150   .050  2.43E-05  5.05E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  2341.630   .040  5.61E-05  1.21E-06    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  1295.710   .200  7.10E-06  7.00E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  1465.750   .200  7.10E-06  7.00E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  1478.990   .200  1.51E-05  1.70E-06    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  1569.390   .100  6.80E-06  3.01E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  1719.660   .030  4.74E-05  1.01E-06    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  1722.160   .050  6.10E-06  1.31E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  1878.600   .070  4.36E-06  1.31E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  2089.600   .030  4.13E-05  9.08E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  2353.400   .700  5.80E-07  6.00E-08    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   313.300   .170  2.44E-06  6.04E-08    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   966.400  1.000  4.50E-06  1.30E-06    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  1234.550   .110  3.34E-06  1.30E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  1639.500   .600  7.70E-07  1.90E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  1792.630   .220  5.71E-06  1.91E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  1810.200   .180  4.50E-06  6.00E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  1948.620   .230  9.60E-07  1.30E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  1829.030   .220  1.20E-06  3.00E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  1831.230   .150  3.27E-06  1.30E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  1114.800   .050  1.23E-05  5.01E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  1454.750   .150  4.43E-06  1.31E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  1624.130   .140  6.40E-07  1.30E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  1881.470   .200  1.54E-06  1.90E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  2037.760   .050  7.30E-06  4.01E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  2248.120   .140  2.10E-06  3.00E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  1354.310   .190  1.73E-06  6.02E-08    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  1759.600   .300  7.00E-07  5.00E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  1911.910   .110  2.82E-06  1.30E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  1929.410   .110  3.14E-06  1.30E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  2280.000   .600  9.00E-07  1.30E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32  2328.040   .220  2.63E-06  1.30E-07    11.30 H  4.07E+04  3.60E+01 B-
 77GE 32   159.610   .170  1.00E-03  2.30E-04     52.9 S  5.29E+01  6.00E-01 IT
 77GE 32   194.800   .200  4.84E-05  2.01E-06     52.9 S  5.29E+01  6.00E-01 B-
 77GE 32   215.530   .060  2.50E-03  3.00E-04     52.9 S  5.29E+01  6.00E-01 B-
 77GE 32   264.700   .500  2.60E-06  3.00E-07     52.9 S  5.29E+01  6.00E-01 B-
 77GE 32   503.860   .180  5.90E-06  5.00E-07     52.9 S  5.29E+01  6.00E-01 B-
 77GE 32   419.500   .500  1.11E-05  7.01E-07     52.9 S  5.29E+01  6.00E-01 B-
 77GE 32   990.300   .300  2.80E-06  3.00E-07     52.9 S  5.29E+01  6.00E-01 B-
 77GE 32  1100.800   .500  8.30E-07  2.10E-07     52.9 S  5.29E+01  6.00E-01 B-
 77GE 32  1340.000   .500  1.80E-06  3.00E-07     52.9 S  5.29E+01  6.00E-01 B-
 77GE 32  1389.100   .500  8.30E-07  1.60E-07     52.9 S  5.29E+01  6.00E-01 B-
 77GE 32  1409.940   .160  1.24E-05  6.01E-07     52.9 S  5.29E+01  6.00E-01 B-
 77GE 32  1604.650   .100  2.51E-05  1.10E-06     52.9 S  5.29E+01  6.00E-01 B-
 77GE 32  1061.600   .500  6.20E-07  1.60E-07     52.9 S  5.29E+01  6.00E-01 B-
 77GE 32  1172.400   .500  4.70E-07  2.10E-07     52.9 S  5.29E+01  6.00E-01 B-
 77GE 32  1411.800   .500  7.80E-07  2.10E-07     52.9 S  5.29E+01  6.00E-01 B-
 77GE 32  1461.200   .500  7.30E-07  1.60E-07     52.9 S  5.29E+01  6.00E-01 B-
 77GE 32  1481.730   .240  5.40E-06  4.00E-07     52.9 S  5.29E+01  6.00E-01 B-
 77GE 32  1676.460   .140  1.89E-05  9.02E-07     52.9 S  5.29E+01  6.00E-01 B-
 76AS 33   559.100   .050  2.00E+00  1.00E-01    26.24 H  9.45E+04  3.24E+02 B-
 76AS 33   563.230   .050  5.40E-02  3.00E-03    26.24 H  9.45E+04  3.24E+02 B-
 76AS 33   657.050   .050  2.79E-01  1.40E-02    26.24 H  9.45E+04  3.24E+02 B-
 76AS 33  1216.080   .050  1.55E-01  8.00E-03    26.24 H  9.45E+04  3.24E+02 B-
 76AS 33   771.740   .050  5.50E-03  4.00E-04    26.24 H  9.45E+04  3.24E+02 B-
 76AS 33   358.400   .700  6.10E-04  0.00E+00    26.24 H  9.45E+04  3.24E+02 B-
 76AS 33   472.800   .100  2.24E-03  2.00E-04    26.24 H  9.45E+04  3.24E+02 B-
 76AS 33  1129.870   .050  5.70E-03  6.00E-04    26.24 H  9.45E+04  3.24E+02 B-
 76AS 33   456.900   .100  1.61E-03  1.00E-04    26.24 H  9.45E+04  3.24E+02 B-
 76AS 33   571.500   .100  6.30E-03  4.00E-04    26.24 H  9.45E+04  3.24E+02 B-
 76AS 33   665.340   .050  1.65E-02  1.40E-03    26.24 H  9.45E+04  3.24E+02 B-
 76AS 33  1228.520   .050  5.50E-02  4.00E-03    26.24 H  9.45E+04  3.24E+02 B-
 76AS 33  1787.660   .080  1.32E-02  8.00E-04    26.24 H  9.45E+04  3.24E+02 B-
 76AS 33   665.000  1.000  1.60E-03  1.60E-03    26.24 H  9.45E+04  3.24E+02 B-
 76AS 33  1881.300   .400  4.10E-05  2.00E-05    26.24 H  9.45E+04  3.24E+02 B-
 76AS 33   695.200   .100  4.10E-04  4.00E-05    26.24 H  9.45E+04  3.24E+02 B-
 76AS 33   809.800   .100  7.70E-04  4.00E-05    26.24 H  9.45E+04  3.24E+02 B-
 76AS 33  1467.000  1.000  4.10E-05  2.00E-05    26.24 H  9.45E+04  3.24E+02 B-
 76AS 33   437.300  1.000  6.10E-05  2.00E-05    26.24 H  9.45E+04  3.24E+02 B-
 76AS 33   797.000   .400  2.00E-04  1.40E-04    26.24 H  9.45E+04  3.24E+02 B-
 76AS 33  1567.900   .100  3.46E-04  2.00E-05    26.24 H  9.45E+04  3.24E+02 B-
 76AS 33  2127.000   .500  6.10E-05  2.00E-05    26.24 H  9.45E+04  3.24E+02 B-
 76AS 33   954.600   .300  8.00E-05  6.00E-05    26.24 H  9.45E+04  3.24E+02 B-
